What is your age group?,"What is your current year of study?
","How well do you understand what mental health means?
",What do you think mental health is related to?,"Do you think mental health is as important as physical health?
","Do you think anyone can experience mental-health difficulties?
","Do you know where a student can get help if they are facing emotional or mental difficulties?
","If you are feeling emotionally upset or stressed, would you talk to someone?
","Who would you feel comfortable talking to when you have a problem?
","What makes it difficult for students to talk about their mental health?
","Do you think students need more mental-health awareness in college/school?
",How often do you feel overwhelmed by your daily responsibilities?,"How often do you feel emotionally tired?
","How supported do you feel by the people around you?
","What usually helps you when you are having a difficult day?
","How much academic pressure do you usually feel?
","How many hours do you usually sleep per night?
","Approximately how much screen time do you have per day?
","How often do you participate in physical activity or exercise?
","In your own words, what does good mental health mean to you?
","What do you wish parents or teachers understood better about students' mental health?
","What do you think students need to improve mental-health awareness?
"
19-21,Third Year,4,How we handle problems,Yes,Yes,Yes,Yes,No one,Feeling shy or uncomfortable,Yes,4,4,1,Talking to someone,1,5–6 hours,Less than 2 hours,Never,"Good mental health means feeling emotionally balanced, being able to handle stress, and feeling comfortable talking about your problems. It also means having a positive mindset and knowing when to ask for help.","I wish parents and teachers understood that students can feel stressed, anxious, or overwhelmed even when they seem fine. Students need support, understanding, and someone who listens without judging them.","Students need more awareness programs, open discussions, counseling support, and information about how to manage stress and emotions. They should also know that asking for help is normal and there is no shame in it."
17 - 18,Third Year,1,Emotions,Yes,Yes,Yes,Yes,Parents/Family,Fear of being judged,Yes,2,3,3,Hobbies,2,5–6 hours,4–6 hours,1–2 days a week,Peace alone happy with yourself ," To parent  or teacher  Understand a students mental health   what students suffering depression and anxiety  like etc 
Just understand and  motivated how to  . Build yourself concercol motivate  how to  reduce  your  stress 
","Stop overthinking and not think  you are alone to never thought you are week 
Just  think positive 
Improve strength  and improve emotions  Good  health 
Just think improve yourself learn to new skills 
Stay go with goal your  achievement "
19-21,Third Year,5,Thoughts and feelings,Yes,Yes,Yes,No,No one,Feeling shy or uncomfortable,Yes,3,3,4,Rest/sleep,3,6–7 hours,2–4 hours,3–4 days a week,"Good mental health means being able to stay calm, manage stress, think positively, and handle everyday problems while maintaining healthy relationships with others.","I wish parents and teachers understood that students can feel stressed, anxious, or overwhelmed because of studies, exams, and personal problems. Students need support, understanding, and someone who listens to them without judging or pressuring them.","Students need more awareness programs, counseling support, open discussions, and simple information about mental health. They should also have a safe place where they can talk about their problems without fear of judgment."
17 - 18,Third Year,5,Emotions;Thoughts and feelings;How we handle problems;Relationships with others,Yes,Yes,Not sure,Yes,Friend;No one,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;Don't know whom to talk to;I don't think it is important;Nothing makes it difficult,Yes,4,4,3,Listening to music;Hobbies;Rest/sleep,5,5–6 hours,4–6 hours,Rarely,Very important ,No they never understand ,Yes they need most according to me 
19-21,Third Year,3,All of the above,Yes,Yes,No,No,Friend,Fear of being judged;Don't know whom to talk to,Yes,4,3,1,Talking to someone;Taking a break;Rest/sleep,4,6–7 hours,6–8 hours,Never,"It means being emotionally balanced, confident, and comfortable talking about my feelings",I wish they would listen to students without judging them,"
Students need more awareness programs, workshops, and open discussions about mental health"
19-21,Third Year,3,All of the above,Yes,Not sure,Yes,Yes,Friend,I don't think it is important,Not sure,4,4,3,Listening to music,3,5–6 hours,4–6 hours,Rarely,,,
19-21,Second Year,5,Emotions;Thoughts and feelings;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable,Yes,4,4,3,Talking to someone;Taking a break;Listening to music,3,5–6 hours,2–4 hours,Rarely,,,
19-21,Third Year,4,Emotions;Thoughts and feelings;How we handle problems;Relationships with others,Yes,Yes,Yes,Yes,No one,Nothing makes it difficult,No,4,4,4,Listening to music,4,5–6 hours,4–6 hours,Rarely,,,
19-21,Third Year,5,Emotions,Yes,Yes,No,Yes,Parents/Family;Friend,I don't think it is important,Yes,4,4,4,Hobbies;Rest/sleep;Spending time with friends/family,4,6–7 hours,2–4 hours,Rarely,,,
19-21,Second Year,2,Emotions,No,No,No,No,Parents/Family,Fear of being judged,Yes,2,1,1,Talking to someone,1,Less than 5 hours,Less than 2 hours,Rarely,,,
